,Unnamed: 0,doc_id,sen_id,word,tag
0,0,0,0,Progress,O
1,1,0,0,in,O
2,2,0,0,Machine,B
3,3,0,0,Translation,I
4,4,0,0,After,O
5,5,0,0,more,O
6,6,0,0,than,O
7,7,0,0,70,O
8,8,0,0,years,O
9,9,0,0,of,O
10,10,0,0,evolution,O
11,11,0,0,",",O
12,12,0,0,great,O
13,13,0,0,achievements,O
14,14,0,0,have,O
15,15,0,0,been,O
16,16,0,0,made,O
17,17,0,0,in,O
18,18,0,0,machine,B
19,19,0,0,translation,I
20,20,0,0,.,O
21,21,0,1,Especially,O
22,22,0,1,in,O
23,23,0,1,recent,O
24,24,0,1,years,O
25,25,0,1,",",O
26,26,0,1,translation,B
27,27,0,1,quality,I
28,28,0,1,has,O
29,29,0,1,been,O
30,30,0,1,greatly,O
31,31,0,1,improved,O
32,32,0,1,with,O
33,33,0,1,the,O
34,34,0,1,emergence,O
35,35,0,1,of,O
36,36,0,1,neural,B
37,37,0,1,machine,I
38,38,0,1,translation,I
39,39,0,1,(,O
40,40,0,1,NMT,O
41,41,0,1,),O
42,42,0,1,.,O
43,43,0,2,In,O
44,44,0,2,this,O
45,45,0,2,article,O
46,46,0,2,",",O
47,47,0,2,we,O
48,48,0,2,first,O
49,49,0,2,review,O
50,50,0,2,the,O
51,51,0,2,history,O
52,52,0,2,of,O
53,53,0,2,machine,B
54,54,0,2,translation,I
55,55,0,2,from,O
56,56,0,2,rule-based,B
57,57,0,2,machine,I
58,58,0,2,translation,I
59,59,0,2,to,O
60,60,0,2,example-based,B
61,61,0,2,machine,I
62,62,0,2,translation,I
63,63,0,2,and,O
64,64,0,2,statistical,B
65,65,0,2,machine,I
66,66,0,2,translation,I
67,67,0,2,.,O
68,68,0,3,We,O
69,69,0,3,then,O
70,70,0,3,introduce,O
71,71,0,3,NMT,O
72,72,0,3,in,O
73,73,0,3,more,O
74,74,0,3,detail,O
75,75,0,3,",",O
76,76,0,3,including,O
77,77,0,3,the,O
78,78,0,3,basic,O
79,79,0,3,framework,O
80,80,0,3,and,O
81,81,0,3,the,O
82,82,0,3,current,O
83,83,0,3,dominant,O
84,84,0,3,framework,O
85,85,0,3,",",O
86,86,0,3,Transformer,B
87,87,0,3,",",O
88,88,0,3,as,O
89,89,0,3,well,O
90,90,0,3,as,O
91,91,0,3,multilingual,B
92,92,0,3,translation,I
93,93,0,3,models,I
94,94,0,3,to,O
95,95,0,3,deal,O
96,96,0,3,with,O
97,97,0,3,the,O
98,98,0,3,data,B
99,99,0,3,sparseness,I
100,100,0,3,problem,I
101,101,0,3,.,O
102,102,0,4,In,O
103,103,0,4,addition,O
104,104,0,4,",",O
105,105,0,4,we,O
106,106,0,4,introduce,O
107,107,0,4,cutting-edge,B
108,108,0,4,simultaneous,I
109,109,0,4,translation,I
110,110,0,4,methods,I
111,111,0,4,that,O
112,112,0,4,achieve,O
113,113,0,4,a,O
114,114,0,4,balance,O
115,115,0,4,between,O
116,116,0,4,translation,B
117,117,0,4,quality,I
118,118,0,4,and,O
119,119,0,4,latency,O
120,120,0,4,.,O
121,121,0,5,We,O
122,122,0,5,then,O
123,123,0,5,describe,O
124,124,0,5,various,O
125,125,0,5,products,O
126,126,0,5,and,O
127,127,0,5,applications,O
128,128,0,5,of,O
129,129,0,5,machine,B
130,130,0,5,translation,I
131,131,0,5,.,O
132,132,0,6,At,O
133,133,0,6,the,O
134,134,0,6,end,O
135,135,0,6,of,O
136,136,0,6,this,O
137,137,0,6,article,O
138,138,0,6,",",O
139,139,0,6,we,O
140,140,0,6,briefly,O
